name,content
BonBon,"BonBon! avail huge discounts"
Bonzo,"Bonzo! become a member today"
Metsu,"Metsu! like us on facebook to get a discount"
Zico,"Zico! become a member today"
PLanetM,"PLanetM! coming soon in a store near you!"
Zuke,"Zuke! become a member today"
Radix,"Radix! avail huge discounts"
Greeno,"Greeno! avail huge discounts"
Metsu,"Metsu! now available in a store near you"
PLanetM,"PLanetM! try this and you would try again!"
Zippy,"Zippy! now available in a store near you"
Zuke,"Zuke! avail huge discounts"
Crombie,"Crombie! try this and you would try again!"
Radix,"Radix! coming soon in a store near you!"
Crombie,"Crombie! coming soon in a store near you!"
Crombie,"Crombie! this is the thing you need"
Bonzo,"Bonzo! this is the thing you need"
Absoo,"Absoo! avail huge discounts"
BonBon,"BonBon! avail huge discounts"
Crombie,"Crombie! like us on facebook to get a discount"
Zico,"Zico! avail huge discounts"
Absoo,"Absoo! this is the thing you need"
Bonzo,"Bonzo! coming soon in a store near you!"
Troy,"Troy! like us on facebook to get a discount"
Crombie,"Crombie! try this and you would try again!"
BonBon,"BonBon! avail huge discounts"
BonBon,"BonBon! this is the thing you need"
Crombie,"Crombie! coming soon in a store near you!"
